0,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
104,Mitsubishi,20800,crossover,31,2.4,Petrol,yes,2011,Outlander XL
105,Mercedes-Benz,107999,crossover,0,2.98,Diesel,yes,2016,GLS 350
106,BMW,3500,sedan,334,2,Diesel,no,1999,320
107,Audi,39000,sedan,18,1.8,Other,yes,2015,A5
108,Toyota,13500,crossover,150,4.7,Gas,yes,2002,Land Cruiser 100
109,Mitsubishi,6150,sedan,175,1.6,Petrol,yes,2007,Lancer
110,BMW,45500,crossover,76,4.4,Petrol,yes,2010,X6 M
111,BMW,4900,sedan,295,2,Petrol,yes,1994,520
112,BMW,47000,other,5,2,Petrol,yes,2014,Z4
113,Toyota,19200,crossover,190,2.7,Gas,yes,2005,Land Cruiser Prado
114,Renault,NA,vagon,180,1.5,Diesel,yes,2011,Megane
115,Mitsubishi,11100,crossover,119,2.4,Gas,yes,2008,Outlander
116,Mitsubishi,8200,sedan,139,1.5,Other,yes,2012,Lancer X
117,Volkswagen,10300,sedan,235,2,Petrol,yes,2007,Passat B6
118,Renault,11990,van,210,1.1,Diesel,yes,2010,Scenic
119,Mitsubishi,800,sedan,340,NA,Other,yes,1986,Galant
120,BMW,46800,sedan,33,2,Diesel,yes,2014,520
121,Volkswagen,1500,other,260,1.8,Gas,no,1994,Golf III
122,BMW,6350,crossover,156,4.4,Gas,no,2002,X5
123,Mercedes-Benz,NA,sedan,16,3,Diesel,yes,2014,S 350
124,Mercedes-Benz,8900,hatch,155,1.5,Petrol,yes,2005,A 150
125,Mercedes-Benz,12700,van,160,3,Diesel,yes,2007,Vito
126,Mitsubishi,8000,sedan,207,1.6,Gas,yes,2007,Lancer
127,Toyota,29500,crossover,63,4,Petrol,yes,2008,FJ Cruiser
128,Volkswagen,NA,hatch,100,2,Petrol,yes,2013,Golf GTI
129,Renault,7100,van,208,1.5,Diesel,yes,2008,Kangoo
130,Renault,10850,crossover,103,2.5,Gas,yes,2010,Koleos
131,Volkswagen,NA,van,277,2.5,Diesel,yes,2001,T4 (Transporter)
132,Toyota,195000,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
133,Volkswagen,27000,sedan,57,2,Diesel,yes,2013,Passat B7
134,Volkswagen,18100,other,64,2,Petrol,yes,2011,Scirocco
135,BMW,27000,sedan,137,5,Other,yes,2005,M5
136,BMW,8990,other,300,2.2,Petrol,yes,2002,320
137,Toyota,32900,crossover,82,2.7,Petrol,yes,2013,Venza
138,BMW,25500,other,163,4.8,Petrol,yes,2008,X5
139,Toyota,8900,crossover,153,2,Petrol,yes,2003,Rav 4
140,Audi,11950,sedan,190,3,Petrol,yes,2006,A6
141,Mercedes-Benz,22700,sedan,125,2.2,Diesel,yes,2010,E-Class
142,Audi,600,sedan,112,1.6,Petrol,yes,1980,80
143,BMW,13000,sedan,165,2.2,Gas,yes,2003,520
144,Audi,25000,other,60,2,Petrol,yes,2011,A5
145,Toyota,26900,crossover,119,4,Gas,yes,2008,Land Cruiser Prado
146,Mercedes-Benz,87777,van,0,2.2,Diesel,yes,2016,V 250
147,Volkswagen,6000,van,200,2,Diesel,yes,2008,Caddy
148,Audi,9800,vagon,257,2.5,Diesel,yes,2003,A6
149,Audi,13900,other,197,2,Diesel,yes,2006,A6
150,Renault,12200,van,164,2.5,Diesel,yes,2009,Trafic
151,Mercedes-Benz,13500,crossover,205,2.7,Diesel,yes,2005,ML 270
152,BMW,18100,crossover,200,4.8,Petrol,yes,2005,X5
153,BMW,33000,crossover,200,3,Diesel,yes,2010,X5
154,Volkswagen,16900,crossover,145,1.4,Petrol,yes,2011,Tiguan
155,Mercedes-Benz,22000,sedan,110,1.8,Petrol,yes,2011,C-Class
156,Volkswagen,10700,sedan,195,3.2,Petrol,yes,2007,Passat B6
157,Mercedes-Benz,7800,sedan,226,2.2,Diesel,yes,2000,E-Class
158,Mercedes-Benz,17300,sedan,184,1.8,Gas,yes,2008,E-Class
159,BMW,70000,sedan,16,3,Diesel,yes,2014,730
160,Volkswagen,2200,hatch,118,1.4,Petrol,no,2001,Lupo
161,BMW,8900,sedan,256,2.2,Petrol,yes,2002,5 Series
162,Mercedes-Benz,31600,sedan,33,1.6,Petrol,yes,2013,CLA 200
163,Volkswagen,7900,other,168,1.9,Diesel,yes,2006,T5 (Transporter)
164,Toyota,28500,crossover,97,3.5,Petrol,yes,2012,Highlander
165,Renault,6900,van,140,1.5,Diesel,yes,2012,Kangoo
166,BMW,8850,vagon,280,2.5,Diesel,yes,2000,525
167,Renault,3100,van,164,1.4,Petrol,yes,1999,Kangoo
168,BMW,8900,sedan,250,2.5,Petrol,yes,2000,525
169,Renault,6100,sedan,130,1.4,Petrol,yes,2005,Megane
170,BMW,1400,sedan,260,1.8,Petrol,no,1996,318
171,Volkswagen,8800,van,93,1.6,Diesel,yes,2012,Caddy
172,Renault,10299,other,176,2,Diesel,yes,2013,Trafic
173,Renault,6500,sedan,170,1.6,Petrol,yes,2004,Megane
174,Mercedes-Benz,169000,other,1,4.7,Petrol,yes,2015,S 500
175,Toyota,9100,sedan,151,1.6,Gas,yes,2007,Corolla
176,Volkswagen,9950,hatch,95,1.4,Petrol,yes,2010,Polo
177,Toyota,24500,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100
178,Audi,51500,crossover,27,3,Diesel,yes,2013,Q7
179,Volkswagen,12900,van,290,1.9,Diesel,yes,2008,T5 (Transporter)
180,Mercedes-Benz,8000,van,250,2.2,Diesel,yes,2006,Vito
181,Mitsubishi,8100,sedan,112,2.4,Petrol,yes,2007,Galant
182,Renault,10100,van,164,2,Diesel,yes,2012,Trafic
183,BMW,1900,sedan,300,2.5,Diesel,no,1997,5 Series
184,Renault,10800,van,187,2,Diesel,yes,2012,Trafic
185,Audi,8000,sedan,234,4.2,Gas,no,2004,A8
186,Mercedes-Benz,15300,other,120,2.6,Petrol,yes,2004,CLK 240
187,Volkswagen,2350,hatch,182,1.9,Diesel,no,1998,Golf IV
188,Volkswagen,23999,sedan,88,NA,Other,yes,2012,Passat CC
189,BMW,38888,vagon,5,0.65,Other,yes,2015,I3
190,Mitsubishi,7300,hatch,126,NA,Other,yes,2004,Colt
191,Toyota,99999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
192,Volkswagen,17650,sedan,110,1.8,Petrol,yes,2012,Passat B7
193,Volkswagen,12999,van,237,2.5,Diesel,yes,2005,Multivan
194,Mercedes-Benz,18500,other,90,1.8,Petrol,yes,2008,C-Class
195,Volkswagen,9200,sedan,195,2,Petrol,yes,2006,Passat B6
196,Volkswagen,14500,sedan,1,1.6,Other,yes,2016,Polo
197,Volkswagen,18000,vagon,18,1.6,Diesel,yes,2011,Passat B7
198,Mercedes-Benz,6800,van,250,1.7,Diesel,yes,2003,Vaneo
199,BMW,20500,crossover,73,2,Petrol,yes,2011,X1
200,BMW,28000,other,100,5,Petrol,yes,2005,M5
201,Volkswagen,10650,van,130,2,Diesel,yes,2011,T5 (Transporter) 
202,Volkswagen,20300,other,30,1.4,Petrol,yes,2013,Scirocco
203,Volkswagen,3000,vagon,267,1.9,Diesel,no,1999,Passat B5
204,Toyota,25250,crossover,112,4.5,Gas,yes,2007,Land Cruiser 100
205,Mitsubishi,1389,hatch,245,1.3,Petrol,no,1996,Colt
206,Mercedes-Benz,17600,sedan,174,4,Diesel,yes,2005,S 400
207,Mercedes-Benz,14200,van,180,2.2,Diesel,yes,2007,Vito
208,BMW,13700,crossover,270,4.6,Gas,yes,2004,X5
209,Mercedes-Benz,23900,sedan,187,5.5,Petrol,yes,2007,S 550
210,Volkswagen,3700,crossover,267,NA,Diesel,no,2000,Golf IV
211,Volkswagen,32000,sedan,144,3.6,Petrol,yes,2013,Passat CC
212,BMW,4599,sedan,267,2,Gas,yes,1991,520
213,Volkswagen,2350,sedan,300,1.9,Diesel,no,1998,Passat B5
214,Audi,19999,vagon,160,2,Petrol,yes,2010,A4 Allroad
215,BMW,28900,sedan,78,2,Petrol,yes,2012,528
216,Volkswagen,3800,sedan,300,2.8,Gas,yes,1996,Passat B4
217,Audi,4649,vagon,350,NA,Diesel,yes,2000,A6
218,Volkswagen,1800,other,300,1.3,Petrol,yes,1989,Golf II
219,Toyota,135000,crossover,1,4.5,Diesel,yes,2011,Land Cruiser 200
220,Volkswagen,9700,sedan,201,2,Petrol,yes,2007,Passat B6
221,Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200
222,Volkswagen,24900,sedan,1,1.6,Diesel,yes,2016,Jetta
223,Renault,4999,sedan,140,1.4,Petrol,yes,2011,Logan
224,Volkswagen,NA,other,142,2.5,Diesel,yes,2007,Multivan
225,BMW,4700,sedan,390,2.5,Petrol,yes,1991,525
226,Mercedes-Benz,4999,sedan,1,2.8,Petrol,yes,1997,E-Class
227,Mercedes-Benz,9299,sedan,350,2.7,Diesel,yes,2000,E-Class
228,Mercedes-Benz,25000,sedan,130,5.5,Petrol,yes,2007,S 550
229,Mitsubishi,12900,crossover,148,3,Gas,yes,2008,Pajero Sport
230,Audi,9700,vagon,189,2.5,Diesel,yes,2003,A6
231,Renault,10100,van,64,2,Diesel,yes,2014,Trafic
232,BMW,2800,sedan,296,3,Diesel,no,2001,730
233,Mercedes-Benz,13500,van,350,2.9,Diesel,yes,2000,Sprinter 312
234,Mitsubishi,8900,hatch,125,1.8,Petrol,yes,2009,Lancer X Sportback
235,Mercedes-Benz,109999,crossover,0,3,Diesel,yes,2016,GLS 350
236,Mercedes-Benz,11500,sedan,180,3.2,Gas,yes,2004,E-Class
237,BMW,36900,crossover,82,3,Petrol,yes,2010,X6
238,Toyota,33200,crossover,150,4,Gas,yes,2010,Land Cruiser Prado
239,Volkswagen,10200,van,253,2.5,Diesel,yes,2008,T5 (Transporter)
240,Volkswagen,16999,sedan,0,1.6,Petrol,yes,2016,Jetta
241,Toyota,10800,sedan,179,3,Gas,yes,2005,Camry
242,Mercedes-Benz,35500,other,99,2.99,Diesel,yes,2011,E-Class
243,Volkswagen,9900,hatch,156,1.6,Petrol,yes,2007,Golf Plus
244,Renault,7900,vagon,91,1.5,Diesel,yes,2008,Scenic
245,Mercedes-Benz,13900,sedan,216,2.2,Diesel,yes,2007,E-Class
246,Volkswagen,20000,sedan,102,1.8,Petrol,yes,2011,Passat CC
247,Toyota,28500,crossover,38,2.2,Diesel,yes,2015,Rav 4
248,Mitsubishi,7200,sedan,178,1.6,Petrol,yes,2007,Lancer
249,Mitsubishi,9000,crossover,200,2,Gas,yes,2006,Outlander
250,Audi,36500,crossover,115,3,Diesel,yes,2010,Q7
251,Volkswagen,8000,hatch,41,1,Petrol,yes,2012,Up
252,Audi,43000,other,11,1.8,Petrol,yes,2015,A6
253,Toyota,13700,sedan,48,1.4,Diesel,yes,2013,Corolla
254,Toyota,7899,sedan,165,1.8,Gas,yes,2006,Avensis
255,Renault,13999,van,180,2,Diesel,yes,2012,Trafic
256,Volkswagen,10500,van,176,1.6,Diesel,yes,2012,Caddy
257,Mercedes-Benz,5500,sedan,100,99.99,Petrol,yes,2007,S 550
258,Volkswagen,20800,other,160,2,Diesel,yes,2012,Amarok
259,Volkswagen,2500,sedan,488,2,Petrol,yes,1991,Passat B3
260,Mercedes-Benz,32000,crossover,176,3.2,Gas,yes,2003,G 320
261,Mercedes-Benz,14500,sedan,220,5,Petrol,yes,2004,S 500
262,Toyota,16900,hatch,20,1.6,Petrol,yes,2014,Auris
263,Mercedes-Benz,13600,van,172,2.2,Diesel,yes,2013,Vito
264,Audi,2600,vagon,273,2.5,Diesel,no,1999,A6
265,Mercedes-Benz,NA,van,0,2.2,Diesel,yes,2016,V 250
266,BMW,12000,sedan,237,3,Diesel,yes,2003,530
267,Volkswagen,NA,sedan,118,1.6,Gas,yes,2008,Jetta
268,Volkswagen,18800,vagon,106,1.6,Diesel,yes,2013,Passat B7
269,Toyota,35500,crossover,85,3,Diesel,yes,2012,Land Cruiser Prado
270,Mercedes-Benz,29900,other,71,5.5,Petrol,yes,2007,CL 500
271,Renault,6750,other,110,1.5,Diesel,yes,2012,Kangoo
272,Toyota,NA,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
273,BMW,34900,crossover,117,3,Petrol,yes,2011,X5
274,Volkswagen,7700,van,177,1.9,Diesel,yes,2008,T5 (Transporter) 
275,Renault,9250,vagon,220,1.5,Diesel,yes,2010,Megane
276,Renault,8400,hatch,84,1.5,Diesel,yes,2011,Kangoo
277,Toyota,11750,sedan,93,1.6,Petrol,yes,2013,Corolla
278,Mercedes-Benz,5800,van,368,2.2,Diesel,yes,2000,Vito
279,Toyota,5900,crossover,180,3,Diesel,no,2003,Land Cruiser Prado
280,BMW,44999,crossover,87,3,Diesel,yes,2011,X6
281,Volkswagen,10500,van,170,1.6,Diesel,yes,2013,Caddy
282,Mercedes-Benz,17900,sedan,190,3,Diesel,yes,2007,E-Class
283,Audi,9999,sedan,190,3,Petrol,yes,2007,A6
284,Audi,9999,sedan,190,2.5,Diesel,yes,2003,A6
285,Renault,4900,van,472,2.5,Diesel,yes,2000,Master
286,Volkswagen,61000,crossover,2,3,Diesel,yes,2016,Touareg
287,Toyota,38300,crossover,130,5.7,Gas,yes,2009,Land Cruiser 200
288,Toyota,17700,sedan,30,1.6,Petrol,yes,2014,Corolla
289,Toyota,600,sedan,10,1.5,Petrol,yes,1979,Corolla
290,Volkswagen,55555,van,50,2,Diesel,yes,2013,Multivan
291,BMW,18000,crossover,280,3,Diesel,yes,2005,X5
292,Renault,7600,other,125,1.5,Diesel,yes,2013,Kangoo
293,Renault,6900,sedan,68,1.5,Diesel,yes,2013,Logan
294,Renault,15635.1,vagon,0,1.5,Diesel,yes,2016,Dokker
295,Renault,10550,van,195,2,Diesel,yes,2011,Trafic
296,Volkswagen,12500,van,190,1.9,Diesel,yes,2008,T5 (Transporter)
297,Audi,13000,sedan,157,3,Petrol,yes,2006,A6
298,BMW,7400,sedan,285,4.4,Gas,yes,1997,540
299,Audi,64400,other,41,NA,Other,yes,2014,A8
300,Renault,9500,hatch,100,1.5,Diesel,yes,2009,Megane
301,Audi,18800,crossover,197,4.2,Petrol,yes,2007,Q7
302,Toyota,8000,sedan,176,3,Petrol,yes,2002,Camry
303,Volkswagen,8700,vagon,250,1.9,Diesel,yes,2002,Passat B5
304,Mercedes-Benz,9999,crossover,300,3.2,Petrol,yes,1998,ML 320
305,Volkswagen,16700,sedan,175,2,Petrol,yes,2011,Passat CC
306,Toyota,13900,hatch,90,1.6,Petrol,yes,2012,Auris
307,Volkswagen,18700,other,145,2,Diesel,yes,2011,T5 (Transporter) 
308,Mitsubishi,6200,sedan,152,1.6,Petrol,yes,2006,Lancer
309,Mercedes-Benz,NA,van,450,2.2,Diesel,yes,2000,Vito
310,Renault,3600,van,22,1.9,Diesel,yes,2001,Kangoo
311,Renault,7500,vagon,98,1.4,Petrol,yes,2007,Kangoo
312,Renault,2300,van,200,1.9,Diesel,yes,2002,Kangoo
313,Volkswagen,16900,crossover,133,2.5,Diesel,yes,2007,Touareg
314,Mitsubishi,13499,crossover,116,2.4,Petrol,yes,2008,Outlander XL
315,Renault,5700,van,180,1.5,Diesel,yes,2007,Kangoo
316,Renault,7250,van,83,NA,Other,yes,2013,Kangoo
317,Mitsubishi,17900,crossover,140,3.8,Gas,yes,2007,Pajero Wagon
318,Volkswagen,7800,vagon,289,NA,Diesel,yes,2003,Passat B5
319,Volkswagen,13900,other,170,1.9,Diesel,yes,2006,Multivan
320,Audi,7950,vagon,167,2.5,Diesel,yes,2000,A6
321,BMW,9700,sedan,250,2,Petrol,yes,2003,318
322,Volkswagen,7500,sedan,240,1.8,Petrol,yes,2002,Passat B5
323,Audi,19999,crossover,117,4.2,Petrol,yes,2007,Q7
324,BMW,9100,sedan,230,2,Gas,yes,2004,318
325,Renault,8100,van,135,NA,Diesel,yes,2008,Kangoo
326,Volkswagen,13300,hatch,73,1.4,Petrol,yes,2011,Golf VI
327,Volkswagen,21000,hatch,22,1.2,Other,yes,2014,Golf VII
328,Audi,6600,sedan,360,1.8,Petrol,yes,1998,A6
329,Audi,7600,vagon,226,3,Diesel,no,2006,A6
330,Mercedes-Benz,3500,hatch,258,1.7,Diesel,no,2002,A 170
331,Volkswagen,3500,sedan,3,1.8,Petrol,yes,1991,Passat B3
332,Mercedes-Benz,17900,van,167,2.2,Diesel,yes,2012,Vito
333,Renault,1950,vagon,286,1.9,Diesel,no,2001,Laguna
334,Volkswagen,7990,sedan,90,1.4,Petrol,yes,2003,New Beetle
335,Volkswagen,65000,crossover,24,NA,Other,yes,2015,Touareg
336,Volkswagen,6500,sedan,320,1.9,Diesel,yes,2001,Passat B5
337,Mitsubishi,3500,sedan,300,2,Diesel,yes,1996,Galant
338,Toyota,14100,sedan,113,2.4,Gas,yes,2009,Camry
339,Toyota,2999,other,300,1.6,Petrol,yes,1991,Corolla
340,BMW,66900,crossover,70,3,Diesel,yes,2014,X5
341,Toyota,13100,sedan,200,3.5,Gas,yes,2006,Camry
342,Volkswagen,6900,sedan,300,1.8,Petrol,yes,1998,Passat B5
343,Volkswagen,23999,sedan,80,2,Diesel,yes,2014,Passat B7
344,Mitsubishi,6990,crossover,225,2.5,Petrol,yes,1997,Pajero
345,Toyota,13999,sedan,198,2.4,Gas,yes,2009,Camry
346,Renault,7600,van,108,1,Diesel,yes,2013,Kangoo
347,Renault,11100,vagon,180,1.5,Diesel,yes,2012,Megane
348,Mercedes-Benz,16500,other,260,2.2,Diesel,yes,2011,Sprinter 319
349,Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63
350,Mercedes-Benz,44000,other,82,5.5,Petrol,yes,2010,S 500
351,Audi,39900,other,12,1.8,Petrol,yes,2014,A5
352,Mercedes-Benz,20500,sedan,173,1.8,Gas,yes,2011,E-Class
353,BMW,8000,crossover,214,4.4,Petrol,no,2000,X5
354,BMW,11600,sedan,142,2,Petrol,yes,2005,320
355,Audi,3500,sedan,265,2,Diesel,yes,1986,100
356,Renault,11500,vagon,170,1.5,Diesel,yes,2012,Megane
357,Volkswagen,13700,other,103,2,Diesel,yes,2011,Passat B6
358,Mercedes-Benz,13700,van,198,3.2,Gas,yes,2006,Viano
359,Renault,7700,vagon,200,1.5,Diesel,yes,2007,Megane
360,Mercedes-Benz,5800,sedan,231,2.2,Petrol,yes,1994,E-Class
361,Volkswagen,9500,sedan,95,2,Petrol,yes,2007,Passat B6
362,Mercedes-Benz,24900,sedan,140,5.5,Petrol,yes,2009,S 550
363,Volkswagen,55500,crossover,47,3,Diesel,yes,2016,Touareg
364,Volkswagen,6500,van,186,2.8,Petrol,yes,2000,Sharan
365,Mercedes-Benz,8300,sedan,175,3.2,Diesel,no,2006,E-Class
366,Mitsubishi,12000,crossover,130,3,Gas,yes,2007,Pajero Sport
367,Mercedes-Benz,15000,crossover,185,3.7,Gas,yes,2005,ML 350
368,BMW,8100,sedan,246,3,Diesel,yes,2000,530
369,Volkswagen,11200,van,178,NA,Diesel,yes,2008,T5 (Transporter)
370,Renault,8000,sedan,175,2,Gas,yes,2005,Megane
371,Mercedes-Benz,5500,van,285,2.3,Diesel,yes,1999,Vito
372,Mercedes-Benz,NA,van,0,2.2,Diesel,yes,2016,V 250
373,Renault,9600,vagon,184,1.5,Diesel,yes,2011,Megane
374,Volkswagen,12500,vagon,96,NA,Petrol,yes,2010,Golf VI
375,BMW,10800,sedan,180,2,Petrol,yes,2002,318
376,Mercedes-Benz,10999,van,263,2.2,Diesel,yes,2005,Vito
377,BMW,44000,crossover,80,3,Diesel,yes,2012,X5
378,Toyota,15700,sedan,108,NA,Petrol,yes,2008,Camry
379,Toyota,19200,hatch,54,1.4,Other,yes,2012,Prius
380,Mercedes-Benz,19600,van,127,1.8,Diesel,yes,2013,B 180
381,Volkswagen,9000,sedan,135,1.6,Gas,yes,2011,Polo
382,BMW,10900,sedan,245,3,Diesel,yes,2003,530
383,Volkswagen,12900,van,180,2,Diesel,yes,2012,T5 (Transporter) 
384,BMW,6600,sedan,285,2.5,Petrol,yes,1999,525
385,Renault,15820.35,sedan,0,1.5,Diesel,yes,2016,Fluence
386,Toyota,10200,sedan,180,2.4,Petrol,yes,2003,Camry
387,Mercedes-Benz,6000,sedan,366,3.2,Gas,yes,1994,E-Class
388,Audi,3500,sedan,1,2,Other,yes,1988,90
389,Volkswagen,7800,van,380,2.5,Diesel,yes,1999,T4 (Transporter)
